text,label
فعلا مثل ما قالت الفنانه أحلام ما في مطربة اسمها شمس,0
احلام عفوية وطيبة واحسن من اي شخص وسخ بحكي عليها كلمة وسخة,1
,1
"أحلام  شهرتها ليس بسبب فنها ولكن بسبب خرووجها عن النص ونشاطها في مواقع التواصل واستهبالها  زي الخليل كوميدي في مصر وغيره أقصد الشهره السلبية
هذه المخلوقة لديها مشكلة نفسية مع الحياة أو ما يسمى شبع من بعد فقر
هذه المخلوقة هتكت عرض الفن والأخلاق وحتى الزمالة الفنية
استغرب ان لديها جمهور وهذه المشكلة إذا كانو يشبوهنها أخلاقيا  !!!!!فالمجتمع العربي يعاني من مشاكل وليست مشكلة",0
اني صراحة كنت أكره أحلام بس أحس متغيرة هذي اليام,0
مكروه احلام,1
مشكلة الفنانين المصريين ولبنانيين انهم يعتقدو انهم نخبة الفن العربي واي فن عربي اخر هو مستوي ثاني مايعرفو يحترمو حدا مثلا المصربين العرب ما يعترفو بالراي مع انو الراي اشهر غناء عربي لو رحت اوربا وسالتهم عن الشاب خالد يعرفوه ولو سالت عن فنان عربي اخر نادر ما يعرفوه....,0
اللهم إني أسألك العفو والعافية في الدنيا والآخرة,0
بصراحة يا أخي الكريم ، للاسف ٩٧٪ من الاعلام العربي اعلام موجه ورخيص ومخجل ومافي احترافية ويستخف بعقل المشاهد وللاسف كثير من المشاهدين غير مدركين لهدف الرسالة التي يقدمها الاعلام العربي وهي مدفوعة التكلفة اصلا من جهات يهمها ان تظل المشاهد وهو الشعب مخدرا ومنوما وما يصحي ابدا ولا يعي.,0
تسلم ضحكة حسن الشافعي,0
بتحكي شامي دخيل الله ههههه,0
احلاااااام بكرهككككك,1
اول شي صحيح لو تساوت الاذواق لبارت السلع ،،،ولكن اتعجب من هذا الزمان اللي ماعندهم اذان موسيقية او كما يقال سميعة شنو احلام شنو راغب كلهم اصوات نشاز وموسيقى نشاز هل تريدون تعرفون من هم الاصوات الحلوة ،،ام كلثوم اسمهان عبدالوهاب فريد عبد الحليم فاءزة وردة هدى سلطان سيد مكاوي فيروز ناظم الغزالي رياض احمد يوسف عمر وووالخ ومن الجيل الجديد فقط اصالة فقط لان صوتها وقوته لامثيل له الان انا اتكلم كسميع ليس كباقي الناس مع احترامي لذوقهم ولكن ليسو بسميعة اي هوسة وضجيج فقط ،،ولا انسا زهور حسين وياس خضر وسعدي وداخل حسن وعوض دوخي والسوري العملاق ابو كلثوم صباح فخري وانتم اتحدى اي واحد منكم أن ينتقد هاؤلاء حتى لو لايحبهم لانو هم مدارس لن تتكرر وبالاخير هل تعلمون ما هو اجمل صوت في العالم انه صوت عبد الباسط قارء القراءن الكريم الله اراده هكذا لانه كلام الله فلا يعلا عليه ،،،انا قصدي كدراسة سمعية مو على كيفك وكيفي وانا انسان بسيط بس اتوقع انا سميع,0
هذي احلام مشاركه وانت ماتستحي كل هذي غيره وحسد,0
بعد تحلف بالله اكذب امرأة على وجه الأرض,1
احبك احالام,0
بلا كزب لجذب المنافقين امثال صاحب القناة وهذا دليل على نجاح احلام,1
هناك تعليق بيقول احلام مسخره لا تخلوها في اراب ايدول 4 بالعكس سبيل نجاح اراب ايدول هوا احلام ومن غيرها البرنامج زيرو انا شخصيا بحبها قوي,0
و رديت مرة ثانية 😂,0
بدأ الموسم وانت تقول لن تستطيع 😂,0
هههههههههههههههههههههه,0
فين هوا المشكل ملكة عن جدارة واستحقاق 😘😘😘😘😘😘😘😘😘😘😘,0
ههههههههه,0
هههههه ولا حدا عاجبها,0
بيعجبني شيئ واحد باحلام انها صريحة و مابتخاف من حدا بنوب غير من الله,0
يخخخخخخخخ,0
"احلام صريحه وعفويه وملكه بجد ليه كلكون بتحاربوها لو نانسي او هيفا محد حارربها 
تحياتي للملكه احلام",0
من لبنان تحية للملكة وفنانة العرب احلام,0
أحلام فنانه طيبه علي نيتها وبتساعد الناس وانا بحبها علشان علي طبيعيتها,0
أحلى مليكة 😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚,0
الى هذه الدرجة انتم تموتون من المرى,0
احلام انتي ليش الناس ماتحبك لين محترمه الناس ايحبون مثل اليسا وهيفاء ومريام فارس,0
ألو,0
خلي تولي لا شارك خلي يخلون واحد عراقي مثلن ماجد المهندس حاتم العراقي والله احسن من هاي,0
علساس انتي هسه فنانه انتي داكوكه وبس,1
صحيح اختلط السياسه بالفن واصبح انت مع مين وعلى هذ الاساس تختتار فنانك .. بصراحه سوف يتحول الشباب على الفن الغربي بسبب غباء وكبرت الفنانين عنده ومن الملاحظ اختفاء الاغنيه السنويه.. يعنه كل سنه كانت تطلع اغنيه او كتر اترن وتنتشر بالوطن العربي من جمال الكلمات والاحان...للخ اليوم ولا اغنيه من عدة سنوات حازت على اعجاب الوطن العربي ..,0
والله يعالم احلام طيبه ومحترمه عايشه على النيه شوف ننسي تفكرساعه قبل ماتتكلم  الإعلام البنانين فاشل وقذر وزباله وأولهم نظام الأحمدية وكل لبنان تعرف هذا الشيء احلام جايه من صحراء قاحله الي انتم تعرفوا قيمتها لهذي الصحراء احلام ملكه بصرحتها وهي انسانه لازم تقلط يعني انتم متكاملين ما بتقلطوا اسألوا أنفسكم هل نحن مانقلط مستحيل احلام فنانه محترمه وجمهرها أكبر من الي يسبوها انا الي قهرني انتم ليش تسبوها وش دخلكم بالحرمة عندها عيالها وزوجها ومش سأله عليكم وخلوا الحمقات,1
"احلام هذي ماعندها غير الجللد

كفو والله",1
ما شاء الله عليك يا أخي ربنا يبارك فيك,0
عندها حق كل الاسالة لي طرحوها الصحافة زفت,0
احلام كوني صامدا انا من الجزاير واشجعك لا تدعيهم يدمرونك,0
جد شمس ماعند ولا غنية تنسمة هية نشهرت من ورة احلام,0
فيديو فاشل,0
شكرا😅😅👍,0
هههههههه😂😂😂👌,0
غثييييييثة لأبعد حد ...,1
هههههههههههههههههههه,0
نقطة ضعف احلام هي شعبيتها المبالغ ما تعرف التمثيل صريحه زياده عن اللزوم ياريت تشوف وتقرا تعليقي انت نيتك صافيه بس الناس ما تقدر فعليك اشويه بالتصرف الاصطناعي ما يصير امام الجمهور تتصرفين  مثلما تتصرفين ببيتك لكل كلام مكانو وزمانو يا بنتي الحياة مدرسه دروسها التجارب فبعد الان لازم تعرفين بعد ما تكر رين الخطاء,0
مع احترامي للبرامج ما الها معنى و مش بالمستوى المطلوووب,0
"فعلا كلامك صح 100%
للاسف ما حدا ماكلها غير هالشعب المعتر",0
ههههههههه منيح متحملك زوجك 👀,0
ههههههههه اخ يا قلبي والله نهفة احلام,0
"عنجد ما بعرف احلام عندها انفصام 
في تناقد 😵😵
كل ساعة شي",0
"فعلا مش بنفوذها ومالها و شكلها 
الملوكية بالاخلاق و الاحترام وبس",0
ana bahabike ktire inti malikate molouke habibti ahlame,0
"أنا غير ممكن ان أتصور عرب ايدول من غير احلام 
عنجد يصير كتير جامد و ما حلو 
حبيبتنا احلام هي مشعله البرنامج بحلاوة روحها و خفة دمها ♡♡♡",0
احلام لم تعد ملكه تم ازالة هاذا القب من شعب الامارات و ايضا من اتصال لزوجة حاكم دبي الشيخ محمد بن راشد المكتوم   التي هي من امرت قناه ابو ظبي بازالة برنامج ذا كوين  و احلام قطعت عن الانستا و قالت انا حواصل حياتي حتى بعد ازالة القب,0
انتم على كلامكم هدا عن هذه المراة. تهدولها حسناتكم. على طبق اتقو لله وخليكم.من الغيبة. و فضح الناس,0
احبج يا احلام الورده مال كل للفنانات,0
انا الكويتي عدنان قاسم ..شزينها الاغاني المحبوبة الفنانة احلام ...اما شمس مايندره عنها متى هيا اطلعت ..حتى اسمها شمس موحلو .ههههاي .,0
مادري مخبله وله مادري شسميهه الله يشفيهه,1
احلام فنانة العرب ، تحية الها,0
ختولي الشاركت برنامج ولما شركت ماكو غيره,0
احلام فنانه محترمه ... وشمس من اسوا فنانه,0
ياليت انها ماتشترك نبغا نتابع البرنامج ولو شاركت احلام والله ما نتابع,0
الله يشفي كل مريض  فيه كرسي شاغر في شهار ارى حجزه للطقاقة أفلام .,0
نانسي  حلوه,0
نانسي,0
مع نفسها عبيطه جداً,1
"البرنامج بدون كبير ماله قيمه 

احلام قيمه وتاريخ وتواجدها بالبرنامج زاد البرنامج",0
روعةة,0
انا ما تعجبني احلام,0
ما احبها,0
هههه احلام خليفة معمر القذافى الله يرحم و يغفر له,0
كل مابتقدو فيكي بنحبك اكتر ياملكه ع فكره كل الاضواء عليكي السنه نجاحك ياملكه صار اكبر المعجبين,0
انا معك يا احلام ملكة الغناء الخليجي مافي اجمل من صوتك,0
شمس احلام وكل الفنانيين تبرعو بكل فلوسكم للفقراء وتوبو الى الله,0
السوده الزركه,1
والله انها اتخوف العيال,0
"بسراحه انا ما اغار من احلام ليش اصلا اتغارون من احلام اذا كان صوتها حلو ندرب علشان يكون صوتنا حلو وذا كنت تحسدونها على اموالها تذكرو يا اخواتي و اخواني ان الغناء بالمال لا ياسوي الغناء بالقلب ان كان قلبك غنيا بالايمان اصبحة تشع بايمانك والله اني يا احلام احبك وانا اعلم ان قلبكي رائع وصوتك رائع لكن انا ما احب الاغاني و المسيقى ونصيحه للمغنيات انكم ما تسو عمليات تجميل لان الجمال لا يكون بالوجه او اجسم و غيرها الجمال الحقيقي هو القلب ان كان قلبك غنيا اصبحة غنيا بالايمان 
وسلام عليكم",0
انتي صوتك مراه يعني الله يغسلك ما بين النسوان حافظه القران وبصلي صدقتك عبد الباسط ليش ما بتحجبي وكيلو مكياج وبظلط  وبا,0
يبغون الشهرة  بمجرد ذكر احلام,0
ياااااشيخه اتقى ربك,0
انا بحبك يا احلام بحببببببكككككككك,0
أحلام طيبة جداا,0
روحو شوفو فضائح الفنانات المصريات والسوريات ..ليش مخلين بالكم مع احﻻم  على اﻻقل هي فنانة غير خليعة وشريفة ليش متكتبون عن سخافة وخﻻعة ميريام فارس مثﻻ..احﻻم اشرف فنانة,0
"Arab idol من دون الفنانه والملكه احلام بالموسم الرابع رح يكون مو حلو 
وحتكون اللجنه ناقصه بدونها",0
لعما  شو بايخا  شو عرفك بلجنا,0
جيبولها كنتاكي لا تكوم تاكلنه ولا تزعلين عدمه بيزه تريدين🍕🍕🍕🍕😆,0
العما شقد بكرهك,1
احبك يا نانسي عجرم احبك موووت😘,0
احلام ما خلت ولا نجم بحاله,0
احلام فنانه طيبه ولاكن دائما تنتقد الناس ولهذا السبب تخلي الناس يكرهونها,0
عود هية ليش مكروهة اريد افتهم احد يكلي,0
"اللهم ثبتنا يوم تزل الاقدام خريجه شريعه وحافظه القران
يامقلب القلوب ثبت قلبي على دينك",0
الحمد لله ربي كرمنا بالعقل,0
احلام,0
قريت التعليقات والله عيب وحرام ماتعجبكم مامجبورين تطالعونها لويش هل غلط هاذي أخلاق مع أحتراماتي لايتعالج الغلط بلغلط الله يهديه والإنسان اليغلط يضر نفسه لايضر غيره انصحوا أفضل من الغلط لا صوته كولش حلو بس عيبه شويه عفويه والناس تكول عليه همجيه تنقصها الثقافه,0
احب انطي رايي بصراحه وبصدق على شنو الغيره احلام قد تكون عفويه على الفطره بس الناس ماترحم هيجي إنسان ومن داخلها إنسان بسيط وطيوبه الكلمه اللي في قلبها على لسانها لأتعرف التملق لكن ارجع الناس ماترحم هيجي انسان لازم تتغير اسلوبه الى متى تبقى هيجي ينقصها الاسلوب والتسرع وما أجرح اي انسان كائن من يكون وهيه حره بلبسه بتصرفاتها وارجع واقول ثروتها هيه سبب غيرة بعض الناس وتعرضها لنقد والحقد والحسد جائت ثروتها من تعبها وهيه بنت الخليج المدلله لكن ارجع وأقول على ماذا ملكه الصوت يوجد كثير من المطربات أحلى من صوتها انا أقول لثروتها صحيح صوتها جميل وانا احبه بس تنقصها الثقافه باسلوبها وبتصرفاتها صوت رياب الله يرحمها اجمل وأقوى من صوتها كلام الحق لايزعل السبب هيه ثروتكي يااحلام انتي ملكه فقط وراغب علامه فنان وله جمهوره وأقدم منكي حضورا وصوتا وثقافة فلماذا تحشرين انفكي بكل شيء وكأنك تعرفين كل شيء وتعرضين نفسكي لسخريه ولنقد كوني لطيفه وانيقه ليس بلبسكي بل بأسلوبكي اي شيء يطرأ على بالك.تقولينه او تفعلينه أحنه بزمان النقد لايسلم أحد من النقد الا تحذري؟؟؟؟؟؟؟,0
منقهرين من احلام طيب على تبن,0
".
انا ضد تصرفات احلام بس ليه اسب واشتم وفي النهاية سيئات ومحد درا عني 😂
ونسيتم اهم نقطة....الوسط الفني كله قذارة ووساخة",0
تضربي انت واللي غاير منك على شو بدن يغاروا على جمالا,0
احلام انتي من اجمل  الفنانات العرب واحبك مووووووت 💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋,0
أحلام وبس,0
انا مالي علاقه بالغناء وم اسمع الحمدلله لاكن الي م يحب شخص يتكلم فيه ويشتمه و يضره بكلامه اوغيره هاذا يدل على احترامك انت اذا كلامك محترم ونقدك فأنت شخص محترم اما إذا العكس فأنت شخص سيء اتمنى ان الشخص السيء يفكر مع نفسه ويقرر انت وش بتستفيد من كل ذا؟ بأختصاار جمعت ذنوب,0
احترمو نفسكم لا تعيبون ع احلام,0
مريضه جدااااااااااا👎👎👎👎,1
ههههههههه احجي عدل مو تعتعين بس اه اه اه اه شنووو اه احجي عدل ام غسل اله كضهه وجوياها لا تغارين عيوني روحي يم حديقه حيوانات  احسلج يا جكمه عيوني روحي تولي ام غسل اي ولللا 😕😕اوك روحي 👍,1
والله حرام تمساك مايك احلام,0
الفن رساله إنسانيه قبل ان يكون طربيه والدليل ان الفن يحتوي انواع عديده مثل الغناء والتمثيل ومهرجانات وسينما وغيرها ومن هنا الفنان بين حالتين اما واعي ومثقف حاله جيدا او وسط او بسيط ولكل فنان عليه واجبات وحدود للحديث مع الآخرين وخاصة الصحافه التي تمثل الجمهور وبالتالي هو الذي يقيم وللأسف الشديد تأثر الفن بالأحداث السياسيه مما أدى الى انسياق البعض الى التزمت ونسيان رسالته الحقيقيه الإنسانيه ونأمل وبكل حسن وصفاء نيه ان تعاد العلاقه الإنسانيه الجميله الذي تمتع بها جمهور كبير الى الواجهة وطئ صفحه من الماضي ونسيانها رغبة بالمحبه والاحترام المتبادل وحدوده,0
تصلي وتصوم وتقوم بالفرايض.  وتغني وترقص كيف افهمها.  ؟؟؟؟؟؟؟؟,0
اتوقع افضل بديل نوال الكويتية لازم يكون فرع خليجي بالارب أيدول,0
ايمت يطلع ارب ايدل 4,0
بلا قله حيااء انتوا وياه اللي تسب وتسوي حركاتت ممبزره ويعنني .,0
المشكله المشكله ان هي تسب من هب ودب  والا شفتو الفنانه  شمس قالت ماعندي مشكله معاها هي عنده مشكله معاي لانه طبعا هذه اخلاق المثقفين السب شي تخلف حتى ولو عندي مشكله مع الاخر,0
هههههههههههههههه فاشله,0
احسن,0
أحلام فنانة محترمة راقية,0
انا دراسة في كلية الشريعة الاسلامية وبقوم بكل الفرائض بصلي وصوم ههههه ضحكي على طفل عمرة سنتين بهاي,0
والله انها لمن تتكلم أنحرج😳😳😳,0
رح ازوع,0
اولا راغب علامة فنان متزن و المطربة احلام اللي اكيد هية عندها عفة وشرف لانها سترت نفسها وجلست في بيت زوجها وماعرضت نفسها حتى في غرفة نومها مشكلتها مع راغب وكل الشعوب الطيبة انهم لايدعمون داعش ولا ارهاب حكام الخليج اللذين غنت احلام لهم ان اسحقوا شعب اليمن وكل من يعارض سياسة ملوك البترول,0
فشختيني 😂😂😂😂 شو هاد هههههه عيب,0
والله حرم للي تحكي على  أحلام هي إنسانه محترمه  وبريئه,0
شنو هالغرور الملكة ملكة على روحهة مو على الناس اموت منهة ومن الخليج كلة,0
خلوا بالكم انه ليس من اخلاق الاسلام ولا المسلمين فضح اعراض الناس هذا ليس سهل عند الله وعليكم النصيحه بمواجهة من تحب فى منزله وبالقران فقط   وذكر بالقران ولست عليهم بمسيطر وايات كثيره تنبهنا لاتضع نفسك مكان الحكم العدل ولكن اعترض بدون ان تفضح اعراض احد بنشر فديوهات  لاء وانت مش دارى انت بتخلى كلنا نشوفها فيه ناس مش بتشوفها نصيحه لكن بتشوفها شهوه يبئا سيادتك ساعدت على نشر عوره  وتحريك شهوه وفضح عرض  احكم انت بنفسك على نفسك لو انت مسلم حق وليس شخص محرض على هدف معين غير دين الله واوعظهم بالموعظة الحسنه والموعظه الحسنه هى حسن الاخلاق فى النشر والكلام حتى لاتساعد على تشويه دين الله وتجعل ناس كتير تنفر من الدين الاسلامى هذه نصيحه من رجل انت متعلم احسن منى,0
ياخي نحن ما اختلفنا صوتها حلو لكن البنت نفسها متخلفه نفسيه عندها انفصام ف الشخصيه ومتكبره وشايفه نفسها,1
يوجد لدينا تقسيط جميع الاجهزةايفون- لابتوب-كميراءوكل الاجهزهللطلب 0533394524,0
لا ابوكم ولا ابو فنكم حنا وش دخلنا هل الفديو وانا ليش جيت وكيف وصلت هينا 😧,0
ويع على احلام اسكتي تره مو حلوه صوتج وشكلج,1
لك شنو هاي تحجي على راغب وهية متعرف نفسمة يمعودة دولي حاسبو نفسكم قبل ان تحاسبو راغب يسواج ويسوة عشرة مثلج,1
هيييية مجنووونة بس ع نيااااتهاااا,1
ههههههههههه 😂 😂,0
المرأة معروفه باصوتها الهادي,0
هههههه,0
بقاء أحلام في عرب ايدل يقلل من ذوق MBC,0
احلام اتريد تتنطرد من الفن بس متعرف اشلون,0
انتي واحده مغروره شايفه نفسك علي الفاضي,1
فديتك أحلام,0
انتي عندك مشاكلة مع نفسك عدى ناس هههه.يارب يسترنا من هاد المرض.,1
مسكينة احلام عاوزة تكون حاجة ومو عارفة كيف هلأ صارت ماتعرف تحكي عربي ع اساس هي فرنسية,0
كنتاكي😂😂😂😂😂خررررب👌🏻👌🏻😂😂,0
هههههههه ضحكتوني الي ضايج او زعلان او مهموم يشوف احلام وعنجد ينسى كل شي مضايقه,0
احلام وشمس والمعوقات فنيا مثلهم عار المجتمع العربي,1
هذي احلام فنانة وش ؟ وش تسوي بالضبط ؟ :|,0
احلام غيوره كتير بتصلي اىل,0
احلام مغرورة,1
اقترح ان يتحول عنوان البرنامج الى (الطكاكة شو),0
عندما تقف الطكاكة احلام مع راغب علامة سنتذكر مسلسل (الوحشاء والحسن) ههههههههههههههههههه,1
حلو,0
مغرورة بحالا بس ع شو عليك وع منظرك,1
ههههههههه كبور,0
اريد اعرف شنو الي فرطتي بي ياله انطوج مقام ملكه هههههههه,1
"يا عيب الشوم عالفن لبدا تمثلو مجنوني متخلفة متل احلام 
فعلا شي مقرف ومعيب",1
ألي يحب الله لايك,0
متناقضة بشكل فضيع ، وعندها صفاقة ما شفتها في بشر !!! كان الله في عون زوجها ...,1
"احلام مدرسه احلام ماده يجب ان تدرس 
هذه العملاقه هذه الاسطورة هذه الرقم الصعب في قلوب اعدائه
تخسؤن يولاد المتعه توصلون ماوصلت اليه",1
8=====D kentaky,0
kentaky,0
ي كرهي لها والله مو غيره لا عليها ولا ع فلوسها بس كذه اكرهها من ربي والسلام عليكم ورحمه الله وبركاته #,1
هذه الملكه احلام وتستاهل اللقب,0
حتة حكي مبتعرف تحكي,0
ههه شرشوحة,1
مسكينه هبله,1
💋💋💋💋💋ان احب احلام,0
ههههه سينما بلاش,0
أحلام فنانة كبيرة ومن يتكلم عنها هم غبار على أقدامها,1
وش يقولونها باالعربي,0
هيا هيا نشتري دجاج.........نأكل ونربيها للاحفاد.......... لكي نتجنب هذا الفساد........ونعيش بعيدا عن الاوغاد... بق بق بق بق بقاق غاق......هيا هيا ياطفال ياولاد.......هيا نشتري دجاج........ .ماطيب طعم الدجاج .........البيض المفقوص الطازج ........سنبيعه وسنصدر للخارج.......,0
اللهم لا تجعلني من الذين شهدت عليهم اصابعهم،واجعلني من الذين شهدت لهم اصابعم ياارحم الراحمين,0
"مشكلتها اذا زعلت خبصت بالكلام...وسهل استفزازها!
وكلام متناقض وحش بالناس وكنتاكي وبرشلونه ومدريد!
الناس تحب تمصخر بعض ونتي معطيتهم جميع الفرص للمصخره بتصرفاتك هذي.",0
الحقيقة انا مابحب احلام دي ولا عمري هحبها هي مغرورة  بطريقة اوووفر ولا بحب طريقة كلامها تحس انها موش فاهمة حاجة من ال بتقولو واديكو شفتو الفيديو السابق وانا برايي هي ما تستحق تكون عضوة حاكمة ف برنامج عرب ايدول او اي برنامج حتي ...,0
مقطع فيديو متعوب عليه,0
اقسم بالله انها اجمل مطربه خليجيه على وجه الارض  اوانا من موعجبين احلام لانها بتجنن,0
"استغفر الله 
تنااقض تام ب اقولها ههههه",0
وحيات الله انا مش مسدقه كيف هاي الي اسمها احلام مغنيه لا محظر ولا منظر ولا صوت كيف صار هيك بفلويها ومجوهراتها عم تعطوها اهتمام !!!! نصيحتي الك احلام اتحجبي واعبدي ربك عشان اخرتك بلا تفاهات عم اظحكي العالم عليكي وانت بتمثلي انو شخصيتك قويه بس الحقيقه مبينه انو انت انتهيتي . فا الله يهديكي الشهره الكدابه عم تسقط مش ملااحظه هالشي .,0
ع شنو مغروره انتي لو حلوه مثل تفاحة العراق زهور علاء شسوين,0
منطقية جدا في لقاءتها,0
اضهرتم الحقد الدفين تجاه احلام,0
احﻻم احترمي نافسك,0
تصرفاتها كأنه مجنونه صحيح صوتها حلو بس شخصيتها غريبه ومكروها حيل والهذا الهجوم صاير عليها بفلس😂,1
اتركوها بحالها خلص افت يا,0
فش طريقة نخلص من هذا الوباء,0
ياويلي من الغيره من احلام ذبحكم الحسد و الغيره منها يويو منكم الله يكفيها شر عيونكم,0
هل الفنانات ذبحتهم الغير والحسد من احلام ..,0
اهم شي اسم النمسا ...,0
انا تعجبني إنجليزية وعربيتها المكسره اولي ابي شوز,0
درويشه مسكينه,0
مادة دسمة انتم من يجعلها كماتصف القناة,0
احلام كواحه,0
اكرهج احلام 🙊,1
احسن بلا قرف,1
شبه المراة اللي كانت تجي بتوم وجيري,0
خبله هاذي,1
والله حرام اضيع من وقتي حته لو ثواني ع هاي الخبله,1
يقطع عمرك .,0
الحيا ما حد هو والله يستر,0
نسره,0
شكراً على الفديو... مضحك جدً والمحزن فيه ان زوجها يمشي وراءها و كانه عديم الارادة ... يبدو انه لاسلطه له عليها حتى  على الاقل ينصحها بالتصرف برقي أفضل والكف عن التصرف وكأنها أفضل من باقي البشر,0
"شكرا"" للوقت الذي امضيته في مشاهدة هذا الفيديو ولدعمك المتواصل للقناة
بما ان احلام مادة دسمة للنقد، اصدرت فيديو جديد شرف كبير لي ان تشاهده و تتشاركه مع اصدقائك
https://youtu.be/4Y7sT8-XoIA",0
مابيه شي هيه طبيعته,0
كبيره و جايحه  -_-,0
ههههههه شو بيقولها بالعربي,0
انا ماادري شلون عايش الخبل الهاجري....مع هالطقاقة احلام.......ههههههههههههههههههه.....,1
تستاهل,0
"تعاني من عقده 

    العبده",0
"أحلام... لا يوجد فيها بلاء  ، 
مشكلتها عفويه  _ والعفويه عندكم صارت مرض؟  👊💔",0
اصلن شمس صوتها مو حلو بس تسوي اغراءت هي وهيفاء وهبي زي بعض شياطين واحلام انااا مااحبها ولا اكرههااا بس صوتها حلو ع الاقل,0
الغسل متعرف شتحجي,0
يا لبئ احلام واهل الامارااات,0
ههههه,0
هيه اصلن انسانه مقرفه يع,1
اتقو الله لاتأخذو أثام بسببها خلوها لنفسها,0
خدميه,0
هذي انسانه غريبه شايفه نفسها وهي نفسها مو واثقه بنفسها غلط تخلوها بكذا,0
